GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QAMID-66_Vemant_JavaMvn_10,ru.netology.javaqa,Radio,0,81,0,16,0,29,0,17,0,9
QAMID-66_Vemant_JavaMvn_10,ru.netology.javaqa,Main,4,0,0,0,2,0,2,0,2,0
